"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,203,"BMR","High","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,204,"BMR","High","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,205,"BMR","High","Strong",50,6,"0.50"
"Power","F2.ON","N",0.95,206,"BMR","High","Strong",50,10,"99"
"Power","F2.ON","N",0.95,207,"BMR","High","Strong",50,16,"0.00"
"Power","F2.ON","N",0.95,208,"BMR","High","Strong",100,6,"1.00"
"Power","F2.ON","N",0.95,209,"BMR","High","Strong",100,10,"1.00"
"Power","F2.ON","N",0.95,210,"BMR","High","Strong",100,16,"1.00"
"Power","F2.ON","N",0.95,211,"BMR","High","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,212,"BMR","High","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,213,"BMR","High","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,214,"BMR","High","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,215,"BMR","High","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,216,"BMR","High","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,217,"Interval","Low","Independence",50,6,"0.67"
"Power","F2.ON","N",0.95,218,"Interval","Low","Independence",50,10,"0.82"
"Power","F2.ON","N",0.95,219,"Interval","Low","Independence",50,16,"0.89"
"Power","F2.ON","N",0.95,220,"Interval","Low","Independence",100,6,"0.90"
"Power","F2.ON","N",0.95,221,"Interval","Low","Independence",100,10,"0.99"
"Power","F2.ON","N",0.95,222,"Interval","Low","Independence",100,16,"1.00"
"Power","F2.ON","N",0.95,223,"Interval","Low","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,224,"Interval","Low","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,225,"Interval","Low","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,226,"Interval","Low","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,227,"Interval","Low","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,228,"Interval","Low","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,229,"Interval","Low","Moderate",50,6,"0.53"
"Power","F2.ON","N",0.95,230,"Interval","Low","Moderate",50,10,"0.79"
"Power","F2.ON","N",0.95,231,"Interval","Low","Moderate",50,16,"0.85"
"Power","F2.ON","N",0.95,232,"Interval","Low","Moderate",100,6,"0.97"
"Power","F2.ON","N",0.95,233,"Interval","Low","Moderate",100,10,"1.00"
"Power","F2.ON","N",0.95,234,"Interval","Low","Moderate",100,16,"0.99"
"Power","F2.ON","N",0.95,235,"Interval","Low","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,236,"Interval","Low","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,237,"Interval","Low","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,238,"Interval","Low","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,239,"Interval","Low","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,240,"Interval","Low","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,241,"Interval","Low","Strong",50,6,"0.58"
"Power","F2.ON","N",0.95,242,"Interval","Low","Strong",50,10,"0.81"
"Power","F2.ON","N",0.95,243,"Interval","Low","Strong",50,16,"0.85"
"Power","F2.ON","N",0.95,244,"Interval","Low","Strong",100,6,"0.96"
"Power","F2.ON","N",0.95,245,"Interval","Low","Strong",100,10,"1.00"
"Power","F2.ON","N",0.95,246,"Interval","Low","Strong",100,16,"1.00"
"Power","F2.ON","N",0.95,247,"Interval","Low","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,248,"Interval","Low","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,249,"Interval","Low","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,250,"Interval","Low","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,251,"Interval","Low","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,252,"Interval","Low","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,253,"Interval","Wide","Independence",50,6,"0.77"
"Power","F2.ON","N",0.95,254,"Interval","Wide","Independence",50,10,"0.91"
"Power","F2.ON","N",0.95,255,"Interval","Wide","Independence",50,16,"0.89"
"Power","F2.ON","N",0.95,256,"Interval","Wide","Independence",100,6,"1.00"
"Power","F2.ON","N",0.95,257,"Interval","Wide","Independence",100,10,"0.99"
"Power","F2.ON","N",0.95,258,"Interval","Wide","Independence",100,16,"1.00"
"Power","F2.ON","N",0.95,259,"Interval","Wide","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,260,"Interval","Wide","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,261,"Interval","Wide","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,262,"Interval","Wide","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,263,"Interval","Wide","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,264,"Interval","Wide","Independence",3000,16,"1.00"
