"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F1.ON","E",-0.3,291,"Interval","High","Independence",50,16,"0.26"
"Power","F1.ON","E",-0.3,292,"Interval","High","Independence",100,6,"0.35"
"Power","F1.ON","E",-0.3,293,"Interval","High","Independence",100,10,"0.35"
"Power","F1.ON","E",-0.3,294,"Interval","High","Independence",100,16,"0.42"
"Power","F1.ON","E",-0.3,295,"Interval","High","Independence",300,6,"0.81"
"Power","F1.ON","E",-0.3,296,"Interval","High","Independence",300,10,"0.84"
"Power","F1.ON","E",-0.3,297,"Interval","High","Independence",300,16,"0.84"
"Power","F1.ON","E",-0.3,298,"Interval","High","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,299,"Interval","High","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,300,"Interval","High","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,301,"Interval","High","Moderate",50,6,"0.30"
"Power","F1.ON","E",-0.3,302,"Interval","High","Moderate",50,10,"0.25"
"Power","F1.ON","E",-0.3,303,"Interval","High","Moderate",50,16,"0.26"
"Power","F1.ON","E",-0.3,304,"Interval","High","Moderate",100,6,"0.33"
"Power","F1.ON","E",-0.3,305,"Interval","High","Moderate",100,10,"0.35"
"Power","F1.ON","E",-0.3,306,"Interval","High","Moderate",100,16,"0.38"
"Power","F1.ON","E",-0.3,307,"Interval","High","Moderate",300,6,"0.80"
"Power","F1.ON","E",-0.3,308,"Interval","High","Moderate",300,10,"0.86"
"Power","F1.ON","E",-0.3,309,"Interval","High","Moderate",300,16,"0.78"
"Power","F1.ON","E",-0.3,310,"Interval","High","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,311,"Interval","High","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,312,"Interval","High","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,313,"Interval","High","Strong",50,6,"0.17"
"Power","F1.ON","E",-0.3,314,"Interval","High","Strong",50,10,"0.29"
"Power","F1.ON","E",-0.3,315,"Interval","High","Strong",50,16,"0.34"
"Power","F1.ON","E",-0.3,316,"Interval","High","Strong",100,6,"0.39"
"Power","F1.ON","E",-0.3,317,"Interval","High","Strong",100,10,"0.30"
"Power","F1.ON","E",-0.3,318,"Interval","High","Strong",100,16,"0.48"
"Power","F1.ON","E",-0.3,319,"Interval","High","Strong",300,6,"0.86"
"Power","F1.ON","E",-0.3,320,"Interval","High","Strong",300,10,"0.77"
"Power","F1.ON","E",-0.3,321,"Interval","High","Strong",300,16,"0.83"
"Power","F1.ON","E",-0.3,322,"Interval","High","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,323,"Interval","High","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,324,"Interval","High","Strong",3000,16,"1.00"
