"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","C",0.1,213,"BMR","High","Strong",300,16,"0.00"
"Power","F2.ON","C",0.1,214,"BMR","High","Strong",3000,6,"0.62"
"Power","F2.ON","C",0.1,215,"BMR","High","Strong",3000,10,"0.71"
"Power","F2.ON","C",0.1,216,"BMR","High","Strong",3000,16,"0.73"
"Power","F2.ON","C",0.1,217,"Interval","Low","Independence",50,6,"0.05"
"Power","F2.ON","C",0.1,218,"Interval","Low","Independence",50,10,"0.12"
"Power","F2.ON","C",0.1,219,"Interval","Low","Independence",50,16,"0.05"
"Power","F2.ON","C",0.1,220,"Interval","Low","Independence",100,6,"0.12"
"Power","F2.ON","C",0.1,221,"Interval","Low","Independence",100,10,"0.10"
"Power","F2.ON","C",0.1,222,"Interval","Low","Independence",100,16,"0.14"
"Power","F2.ON","C",0.1,223,"Interval","Low","Independence",300,6,"0.12"
"Power","F2.ON","C",0.1,224,"Interval","Low","Independence",300,10,"0.06"
"Power","F2.ON","C",0.1,225,"Interval","Low","Independence",300,16,"0.06"
"Power","F2.ON","C",0.1,226,"Interval","Low","Independence",3000,6,"0.65"
"Power","F2.ON","C",0.1,227,"Interval","Low","Independence",3000,10,"0.80"
"Power","F2.ON","C",0.1,228,"Interval","Low","Independence",3000,16,"0.81"
"Power","F2.ON","C",0.1,229,"Interval","Low","Moderate",50,6,"0.10"
"Power","F2.ON","C",0.1,230,"Interval","Low","Moderate",50,10,"0.08"
"Power","F2.ON","C",0.1,231,"Interval","Low","Moderate",50,16,"0.05"
"Power","F2.ON","C",0.1,232,"Interval","Low","Moderate",100,6,"0.09"
"Power","F2.ON","C",0.1,233,"Interval","Low","Moderate",100,10,"0.11"
"Power","F2.ON","C",0.1,234,"Interval","Low","Moderate",100,16,"0.12"
"Power","F2.ON","C",0.1,235,"Interval","Low","Moderate",300,6,"0.11"
"Power","F2.ON","C",0.1,236,"Interval","Low","Moderate",300,10,"0.12"
"Power","F2.ON","C",0.1,237,"Interval","Low","Moderate",300,16,"0.13"
"Power","F2.ON","C",0.1,238,"Interval","Low","Moderate",3000,6,"0.68"
"Power","F2.ON","C",0.1,239,"Interval","Low","Moderate",3000,10,"0.79"
"Power","F2.ON","C",0.1,240,"Interval","Low","Moderate",3000,16,"0.78"
"Power","F2.ON","C",0.1,241,"Interval","Low","Strong",50,6,"0.09"
"Power","F2.ON","C",0.1,242,"Interval","Low","Strong",50,10,"0.13"
"Power","F2.ON","C",0.1,243,"Interval","Low","Strong",50,16,"0.06"
"Power","F2.ON","C",0.1,244,"Interval","Low","Strong",100,6,"0.07"
"Power","F2.ON","C",0.1,245,"Interval","Low","Strong",100,10,"0.15"
"Power","F2.ON","C",0.1,246,"Interval","Low","Strong",100,16,"0.13"
"Power","F2.ON","C",0.1,247,"Interval","Low","Strong",300,6,"0.11"
"Power","F2.ON","C",0.1,248,"Interval","Low","Strong",300,10,"0.18"
"Power","F2.ON","C",0.1,249,"Interval","Low","Strong",300,16,"0.14"
"Power","F2.ON","C",0.1,250,"Interval","Low","Strong",3000,6,"0.63"
"Power","F2.ON","C",0.1,251,"Interval","Low","Strong",3000,10,"0.81"
"Power","F2.ON","C",0.1,252,"Interval","Low","Strong",3000,16,"0.87"
"Power","F2.ON","C",0.1,253,"Interval","Wide","Independence",50,6,"0.09"
"Power","F2.ON","C",0.1,254,"Interval","Wide","Independence",50,10,"0.08"
"Power","F2.ON","C",0.1,255,"Interval","Wide","Independence",50,16,"0.06"
"Power","F2.ON","C",0.1,256,"Interval","Wide","Independence",100,6,"0.10"
"Power","F2.ON","C",0.1,257,"Interval","Wide","Independence",100,10,"0.14"
"Power","F2.ON","C",0.1,258,"Interval","Wide","Independence",100,16,"0.11"
"Power","F2.ON","C",0.1,259,"Interval","Wide","Independence",300,6,"0.13"
"Power","F2.ON","C",0.1,260,"Interval","Wide","Independence",300,10,"0.15"
"Power","F2.ON","C",0.1,261,"Interval","Wide","Independence",300,16,"0.11"
"Power","F2.ON","C",0.1,262,"Interval","Wide","Independence",3000,6,"0.82"
"Power","F2.ON","C",0.1,263,"Interval","Wide","Independence",3000,10,"0.80"
"Power","F2.ON","C",0.1,264,"Interval","Wide","Independence",3000,16,"0.76"
"Power","F2.ON","C",0.1,265,"Interval","Wide","Moderate",50,6,"0.08"
"Power","F2.ON","C",0.1,266,"Interval","Wide","Moderate",50,10,"0.07"
"Power","F2.ON","C",0.1,267,"Interval","Wide","Moderate",50,16,"0.08"
"Power","F2.ON","C",0.1,268,"Interval","Wide","Moderate",100,6,"0.07"
"Power","F2.ON","C",0.1,269,"Interval","Wide","Moderate",100,10,"0.11"
"Power","F2.ON","C",0.1,270,"Interval","Wide","Moderate",100,16,"0.05"
"Power","F2.ON","C",0.1,271,"Interval","Wide","Moderate",300,6,"0.10"
"Power","F2.ON","C",0.1,272,"Interval","Wide","Moderate",300,10,"0.16"
"Power","F2.ON","C",0.1,273,"Interval","Wide","Moderate",300,16,"0.11"
"Power","F2.ON","C",0.1,274,"Interval","Wide","Moderate",3000,6,"0.67"
"Power","F2.ON","C",0.1,275,"Interval","Wide","Moderate",3000,10,"0.81"
"Power","F2.ON","C",0.1,276,"Interval","Wide","Moderate",3000,16,"0.86"
"Power","F2.ON","C",0.1,277,"Interval","Wide","Strong",50,6,"0.13"
"Power","F2.ON","C",0.1,278,"Interval","Wide","Strong",50,10,"0.12"
"Power","F2.ON","C",0.1,279,"Interval","Wide","Strong",50,16,"0.15"
"Power","F2.ON","C",0.1,280,"Interval","Wide","Strong",100,6,"0.08"
"Power","F2.ON","C",0.1,281,"Interval","Wide","Strong",100,10,"0.10"
"Power","F2.ON","C",0.1,282,"Interval","Wide","Strong",100,16,"0.15"
"Power","F2.ON","C",0.1,283,"Interval","Wide","Strong",300,6,"0.14"
