"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
7936;100;10;0;1;2;0.806;0.707;FALSE;FALSE;"NOT-flipped"
8100;100;10;0;1;2;0.849;0.773;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;1;2;0.803;0.752;FALSE;FALSE;"NOT-flipped"
8255;100;10;0;1;2;0.824;0.877;FALSE;FALSE;"NOT-flipped"
8550;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
8564;100;10;0;1;2;0.869;0.84;FALSE;FALSE;"NOT-flipped"
8738;100;10;0;1;2;0.796;0.811;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;1;2;0.804;0.771;FALSE;FALSE;"NOT-flipped"
8927;100;10;0;1;2;0.839;0.801;FALSE;FALSE;"NOT-flipped"
9532;100;10;0;1;2;0.777;0.831;FALSE;FALSE;"NOT-flipped"
9607;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
9678;100;10;0;1;2;0.763;0.798;FALSE;FALSE;"NOT-flipped"
9970;100;10;0;1;2;0.775;0.859;FALSE;FALSE;"NOT-flipped"
10023;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10069;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10216;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10244;100;10;0;2;1;0.654;0.703;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;2;1;0.745;0.751;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
11098;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
11471;100;10;0;2;1;0.637;0.627;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;2;1;0.723;0.75;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12519;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12599;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1273;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12895;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12934;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12967;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1298;100;10;0;2;1;0.68;0.657;FALSE;FALSE;"NOT-flipped"
