"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
14800;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14857;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
14984;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
15487;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
15732;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
15807;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
16409;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
16434;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1667;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
16924;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
17347;100;10;0;2;1;0.6;0.745;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
17746;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18131;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
18172;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
18267;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18293;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18434;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
1901;100;10;0;2;1;0.74;0.652;FALSE;FALSE;"NOT-flipped"
19019;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19037;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
19404;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1955;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19606;100;10;0;2;1;0.761;0.764;FALSE;FALSE;"NOT-flipped"
19637;100;10;0;2;1;NA;NA;TRUE;FALSE;"NOT-IMP"
19807;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2086;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2358;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2558;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2598;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2655;100;10;0;2;1;0.719;0.704;FALSE;FALSE;"NOT-flipped"
2675;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2922;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2961;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3416;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3442;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3569;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3981;100;10;0;2;1;0.723;0.602;FALSE;FALSE;"NOT-flipped"
4156;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4240;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4265;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
4365;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4414;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
4941;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
5788;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6518;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6846;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
6884;100;10;0;2;1;0.561;0.598;FALSE;FALSE;"NOT-flipped"
7029;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7146;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7195;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7412;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7466;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7495;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7849;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7936;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8100;100;10;0;2;1;0.723;0.643;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8255;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8550;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
8564;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8738;100;10;0;2;1;0.625;0.624;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
8927;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9532;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9607;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
9678;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9970;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10023;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
10069;100;10;0;2;2;0.871;0.848;FALSE;FALSE;"NOT-flipped"
10216;100;10;0;2;2;0.779;0.867;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;2;2;0.874;0.859;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;2;2;0.878;0.863;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;2;2;0.855;0.826;FALSE;FALSE;"NOT-flipped"
11098;100;10;0;2;2;0.885;0.897;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;2;2;0.889;0.863;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;2;2;0.874;0.856;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;2;2;0.843;0.853;FALSE;FALSE;"NOT-flipped"
12519;100;10;0;2;2;0.828;0.795;FALSE;FALSE;"NOT-flipped"
12599;100;10;0;2;2;0.828;0.87;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;2;2;0.873;0.846;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
12934;100;10;0;2;2;0.896;0.816;FALSE;FALSE;"NOT-flipped"
12967;100;10;0;2;2;0.807;0.896;FALSE;FALSE;"NOT-flipped"
1298;100;10;0;2;2;0.826;0.89;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;2;2;0.826;0.849;FALSE;FALSE;"NOT-flipped"
